,EE Provider ID,EE UID,Client Unique ID,Client ID,Client Age at Entry,Client Age at Exit,Client Gender,Client Primary Race,Client Ethnicity,Client Veteran Status
0,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687901,pbkf09291954p610b236,397941,60.0,61.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
1,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687902,kdaf01071967k400d635,130335,48.0,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
2,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687903,smrf06211973s620m640,188933,42.0,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
3,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687904,abrm07251958a416b600,168290,57.0,57.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
4,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687905,wbom01251964w450b620,123122,51.0,51.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
5,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687907,tmjm08061985t520m230,363382,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
6,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687909,ctnm05251964c642t534,165730,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
7,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687911,rcam05241959r200c620,291392,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
8,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687912,fcrm05091955f652c632,359808,60.0,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
9,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687913,ream02291956r200e152,385539,59.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
10,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687914,mgam05151964m240g600,360237,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
